〇	zero	líng
玉米糖浆	corn syrup	yù mǐ táng jiāng
玉米糖浆	corn syrup	yù mǐ táng jiāng
玉米糖漿	corn syrup	yù mǐ táng jiāng
玉米糖漿	corn syrup	yù mǐ táng jiāng
玉米花	popcorn	yù mǐ huā
玉米面	cornmeal	yù mǐ miàn
玉米餅	hoecake/corn cake	yù mǐ bǐng
玉米饼	hoecake/corn cake	yù mǐ bǐng
玉米麵	cornmeal	yù mǐ miàn
玉蜀黍	corn	yù shǔ shǔ
玉門市	Yumen	yù mén shì
玉门市	Yumen	yù mén shì
玉髓	exquisite wine/chalcedony	yù suǐ
王	king	wáng
王上	1Ki	wáng shàng
王下	2Ki	wáng xià
王丹	Wang Dan	wáng dān
王丹	Wang Dan	wáng dān
王位	kingship	wáng wèi
王储	crown prince	wáng chǔ
王儲	crown prince	wáng chǔ
王八羔子	son of a bitch	wáng bā gāo zi
王公	princes and dukes	wáng gōng
王冠	crown	wáng guān
王后	queen	wáng hòu
王命	emperor's order	wáng mìng
王国	kingdom/realm	wáng guó
王国聚会所	Kingdom Hall	wáng guó jù huì suǒ
王國	kingdom/realm	wáng guó
王國聚會所	Kingdom Hall	wáng guó jù huì suǒ
王子	prince/Prince	wáng zǐ
王室	royal family/royal household	wáng shì
王宫	imperial palace	wáng gōng
王宮	imperial palace	wáng gōng
王家	princely	wáng jiā
王家瑞	Wang Jiarui	wáng jiā ruì
王府井	Wangfujing	wáng fǔ jǐng
王座	throne	wáng zuò
王朝	dynasty	wáng cháo
王权	royalty	wáng quán
王權	royalty	wáng quán
王母	grandmother	wáng mǔ
王法	law of the land	wáng fǎ
王牌	trump card	wáng pái
王者	emperor/king	wáng zhě
王者	emperor/king	wáng zhě
王者	emperor/king	wáng zhě
王菲	Faye Wong	wáng fēi
玎	jingling	dīng
玑	irregular pearl	jī
玖	nine	jiǔ
玛丽	Mary	mǎ lì
玛丽亚	Maria	mǎ lì yà
玛丽安娜	Mariana	mǎ lì ān nà
玛丽莲	Marilyn	mǎ lì lián
玛乔丽	Marjorie	mǎ qiáo lì
玛利亚	Maria	mǎ lì yà
玛利亚	Maria	mǎ lì yà
玛尔塔	Marta	mǎ ěr tǎ
玛拉基	Malachi	mǎ lā jī
玛拉基	Malachi	mǎ 拉 jī
玛拉基书	Book of Malachi	mǎ lā jī shū
玛拉基书	Book of Malachi	mǎ lā jī shū
玛拉基亚	Malachi	mǎ lā jī yà
玛拉基亚	Malachi	mǎ lā jī yà
玛拿西	Manasseh	mǎ ná xī
玛曲	Maqu	mǎ qǔ
玛格丽特	Margaret	mǎ gé lì tè
玛瑙	agate	mǎ nǎo
玛瑙贝	cowrie	mǎ nǎo bèi
玛莎	Martha	mǎ shā
玢	porphyrites	bīn
玩	play	wán
玩乐	disport	wán lè
玩伴	playmate	wán bàn
玩偶	toy figurine/doll	wán ǒu
玩儿	play/to play	wán r
玩儿完	finished/be done for/be finished	wán r wán
玩兒	play/to play	wán r
玩兒完	finished/be done for/be finished	wán r wán
玩具	toy/plaything	wán jù
玩具枪	toy gun	wán jù qiāng
玩具槍	toy gun	wán jù qiāng
玩味	ponder/ruminate	wán wèi
玩器	elegant plaything	wán qì
玩器	elegant plaything	wán qì
玩家	player	wán jiā
玩弄	resort to	wán nòng
玩弄	resort to	wán nòng
玩忽	neglect/trifle with	wán hū
玩忽职守	derelict	wán hū zhí shǒu
玩忽職守	derelict	wán hū zhí shǒu
玩意	plaything/thing	wán yì
玩樂	disport	wán lè
玩樂	disport	wán lè
玩樂	disport	wán lè
玩樂	disport	wán lè
玩火	play with fire	wán huǒ
玩牌	play cards	wán pái
玩狎	dally with	wán xiá
玩笑	joke/jest	wán xiào
玩索	ponder	wán suǒ
玩索	ponder	wán suǒ
玩耍	amuse oneself/play/to play	wán shuǎ
玩花招	play tricks	wán huā zhāo
玩賞	enjoy	wán shǎng
玩赏	enjoy	wán shǎng
玫瑰	rose	méi guī
玫瑰油	attar	méi guī yóu
玫瑰花	rose	méi guī huā
玮	precious/rare	wěi
环	encircle	huán
环保	environmental protection	huán bǎo
环县	Huan county	huán xiàn
环境	environment	huán jìng
环境保护	environmental protection	huán jìng bǎo hù
环境影响	environmental impact	huán jìng yǐng xiǎng
环境污染	environmental pollution	huán jìng wū rǎn
环带	clitellum	huán dài
环形	annular	huán xíng
环形结构	ring configuration	huán xíng jié gòu
环抱	encircle	huán bào
环氧树脂	epoxy resin	huán yǎng shù zhī
环江	Huanjiang Maonanzu autonomous county	huán jiāng
环法自行车赛	Tour de France	huán fǎ zì xíng chē sài
环法自行车赛	Tour de France	huán fǎ zì xíng chē sài
环状	annular	huán zhuàng
环球定位系统	global positioning system	huán qiú dìng wèi xì tǒng
环球邮报	Globe and Mail	huán qiú yóu bào
环礁	atoll	huán jiāo
环绕	revolve around/surround	huán rào
环节	sector/link/segment	huán jié
环节动物	annelid	huán jié dòng wù
环行	circle	huán xíng
环行	circle	huán 行
环路	ring road	huán lù
环路	ring road	huán lù
环顾	look about/around	huán gù
现	current/to appear	xiàn
现下	now	xiàn xià
现世	this life/be disgraced/lose face	xiàn shì
现今	now/nowadays	xiàn jīn
现代	modern times	xiàn dài
现代主义	modernism	xiàn dài zhǔ yì
现代化	modernization/modern	xiàn dài huà
现代性	modernity	xiàn dài xìng
现代汉语	modern Chinese	xiàn dài hàn yǔ
现代舞	modern dance	xiàn dài wǔ
现代诗	modern poetry	xiàn dài shī
现代音乐	modern music	xiàn dài yīn yuè
现任	current/incumbent	xiàn rèn
现况	current situation	xiàn kuàng
现况	current situation	xiàn kuàng
现出	show	xiàn chū
现在	current	xiàn zài
现场	scene	xiàn chǎng
现场会	on-the-spot meeting	xiàn chǎng huì
现场报道	on-the-spot report	xiàn chǎng bào dào
现场直播	live broadcast	xiàn chǎng zhí bō
现场直播	live broadcast	xiàn chǎng zhí bō
现存	extant/in stock	xiàn cún
现实	real	xiàn shí
现实主义	realism	xiàn shí zhǔ yì
现实情况	current state	xiàn shí qíng kuàng
现实情况	current state	xiàn shí qíng kuàng
现年	current age	xiàn nián
现年	current age	xiàn nián
现成	readily available/ready-made	xiàn chéng
现抓	improvise	xiàn zhuā
现时	current	xiàn shí
现有	currently existing	xiàn yǒu
现款	cash	xiàn kuǎn
现状	current situation	xiàn zhuàng
现行	current	xiàn xíng
现行	current	xiàn xíng
现象	appearance/phenomenon	xiàn xiàng
现象学	phenomenology	xiàn xiàng xué
现身	to appear/appear	xiàn shēn
现金	cash	xiàn jīn
现金	cash	xiàn jīn
现金交易	cash transaction	xiàn jīn jiāo yì
现金交易	cash transaction	xiàn 金 jiāo yì
现金交易	cash transaction	xiàn jīn jiāo 易
现金簿	cash book	xiàn jīn bù
现金簿	cash book	xiàn 金 bù
现钱	cash	xiàn qián
现阶段	at the present stage	xiàn jiē duàn
玲珑	exquisite	líng lóng
玲珑	exquisite	líng lóng
玲瓏	exquisite	líng lóng
玲瓏	exquisite	líng lóng
玳	tortoise shell	dài
玳瑁	hawksbill/hawksbill turtle	dài mào
玳瑁壳	tortoise shell	dài mào ké
玳瑁殼	tortoise shell	dài mào ké
玳瑁眼鏡	hawksbill shell-rimmed eyeglasses	dài mào yǎn jìng
玳瑁眼镜	hawksbill shell-rimmed eyeglasses	dài mào yǎn jìng
玷	blemish/disgrace	diàn
玷污	sully/tarnish/stain	diàn wū
玷辱	dishonor/disgrace	diàn rǔ
玻	glass	bō
玻利尼西亚	Polynesia	bō lì ní xī yà
玻利尼西亚	Polynesia	bō lì ní xī yà
玻利尼西亞	Polynesia	bō lì ní xī yà
玻利尼西亞	Polynesia	bō lì ní xī yà
玻利維亞	Bolivia	bō lì wéi yà
玻利維亞	Bolivia	bō lì wéi yà
玻利维亚	Bolivia	bō lì wéi yà
玻利维亚	Bolivia	bō lì wéi yà
玻意耳	Boyle	bō yì ěr
玻璃	glass/nylon/plastic	bō li
玻璃杯	glass	bō li bēi
玻璃窗	glass window	bō lí chuāng
玻璃管	glass tube	bō li guǎn
玻璃纖維	fiberglass/glass fiber	bō lí xiān wéi
玻璃纤维	fiberglass/glass fiber	bō lí xiān wéi
玻璃罩	glass cover	bō li zhào
玻璃鋼	fiberglass	bō li gāng
玻璃钢	fiberglass	bō li gāng
玻璃門	glass door	bō lí mén
玻璃门	glass door	bō lí mén
玻里尼西亚	Polynesia	bō lǐ ní xī yà
玻里尼西亚	Polynesia	bō lǐ ní xī yà
珀	amber	pò
珀斯	Perth	pò sī
珀西瓦尔	Percival	pò xī wǎ ěr
珀金斯	Perkins	pò jīn sī
珀金斯	Perkins	pò 金 sī
珂罗版	collotype	kē luó bǎn
珂羅版	collotype	kē luó bǎn
珂羅版	collotype	kē luó bǎn
珈	gamma	jiā
珉玉杂淆	scholars of various talents	mín yù zá xiáo
珉玉雜淆	scholars of various talents	mín yù zá xiáo
珊	coral	shān
珊瑚	coral	shān hú
珊瑚潭	coral lake	shān hú tán
珊瑚礁	coral reef	shān hú jiāo
珍	precious thing	zhēn
珍品	curio	zhēn pǐn
珍奇	rare	zhēn qí
珍妮弗	Jennifer	zhēn nī fú
珍宝	treasure	zhēn bǎo
珍寶	treasure	zhēn bǎo
珍异	rare	zhēn yì
珍惜	to cherish/treasure/cherish	zhēn xī
珍愛	cherish	zhēn ài
珍本	rare edition/book	zhēn běn
珍爱	cherish	zhēn ài
珍珠	pearl	zhēn zhū
珍珠岩	pearlite	zhēn zhū yán
珍珠港	Pearl Harbor	zhēn zhū gǎng
珍珠菜	loosestrife	zhēn zhū cài
珍珠貝	pearl shell	zhēn zhū bèi
珍珠贝	pearl shell	zhēn zhū bèi
珍異	rare	zhēn yì
珍異	rare	zhēn yì
珍稀	precious	zhēn xī
珍聞	news tidbits	zhēn wén
珍藏	collection	zhēn cáng
珍視	prize/cherish/treasure	zhēn shì
珍視	prize/cherish/treasure	zhēn shì
珍視	prize/cherish/treasure	zhēn shì
珍视	treasure	zhēn shì
珍貴	precious	zhēn guì
珍贵	precious	zhēn guì
珍重	to treasure	zhēn zhòng
珍闻	news tidbits	zhēn wén
珏	gems mounted together	jué
珐	enamel ware	fà
珐琅	enamel	fà láng
珙县	Gong county	gǒng xiàn
珙桐	dove tree	gǒng tóng
珙縣	Gong county	gǒng xiàn
珠	bead/pearl	zhū
珠三角	Pearl River Delta	zhū sān jiǎo
珠光体	pearlite	zhū guāng tǐ
珠光體	pearlite	zhū guāng tǐ
珠子	bead/pearl	zhū zi
珠宝商	jeweler	zhū bǎo shāng
珠寶商	jeweler	zhū bǎo shāng
珠母	mother-of-pearl	zhū mǔ
珠江	Pearl River	zhū jiāng
珠江三角洲	Pearl River Delta	zhū jiāng sān jiǎo zhōu
珠海	Zhuhai	zhū hǎi
珠海	Zhuhai	zhū hǎi
珠海市	Zhuhai	zhū hǎi shì
珠海市	Zhuhai	zhū hǎi shì
珠玉	gems/pearls and jades	zhū yù
珠箔	curtain of pearls/screen of beads	zhū bó
珠联璧合	perfect pair	zhū lián bì hé
珠聯璧合	perfect pair	zhū lián bì hé
珠聯璧合	perfect pair	zhū lián bì hé
珥	pearl or jade earring	ěr
珧	mother-of-pearl	yáo
珩	top gem of pendant from girdle	héng
班	class/team	bān
班主任	teacher	bān zhǔ rèn
班克斯	Banks	bān kè sī
班加罗尔	Bangalore	bān jiā luó ěr
班加羅爾	Bangalore	bān jiā luó ěr
班加羅爾	Bangalore	bān jiā luó ěr
班务会	a routine meeting of a squad	bān wù huì
班務會	a routine meeting of a squad	bān wù huì
班卓琴	banjo	bān zhuó qín
班吉	Bangui	bān jí
班图	Bantu	bān tú
班图斯坦	Bantustan	bān tú sī tǎn
班子	organized group	bān zi
班师	withdraw troops from the front	bān shī
班師	withdraw troops from the front	bān shī
班戈	Bangor	bān gē
班房	jail	bān fáng
班扬	Bunyan	bān yáng
班机	airliner	bān jī
班機	airliner	bān jī
班珠尔	Banjul	bān zhū ěr
班珠爾	Banjul	bān zhū ěr
班禅	Panchen (Lama)	bān chán
班禅喇嘛	Panchen Lama	bān chán lǎ ma
班禅喇嘛	Panchen Lama	bān chán lǎ ma
班禪	Panchen (Lama)	bān chán
班禪喇嘛	Panchen Lama	bān chán lǎ ma
班禪喇嘛	Panchen Lama	bān chán lǎ ma
班級	classes or grades in school	bān jí
班级	classes or grades in school	bān jí
班茨	Banz	bān cí
班輩兒	seniority	bān bèi r
班輪	regular steamship service	bān lún
班輪	regular steamship service	bān lún
班车	service bus	bān chē
班轮	regular steamship service	bān lún
班辈儿	seniority	bān bèi r
珰	earring	dāng
珲春	Hunchun	hún chūn
珲春市	Hunchun	hún chūn shì
現	current/to appear	xiàn
現下	now	xiàn xià
現世	this life/be disgraced/lose face	xiàn shì
現今	now/nowadays	xiàn jīn
現代	modern times	xiàn dài
現代主義	modernism	xiàn dài zhǔ yì
現代化	modernization/modern	xiàn dài huà
現代性	modernity	xiàn dài xìng
現代漢語	modern Chinese	xiàn dài hàn yǔ
現代漢語	modern Chinese	xiàn dài 漢 yǔ
現代漢語	modern Chinese	xiàn dài 漢 yǔ
現代舞	modern dance	xiàn dài wǔ
現代詩	modern poetry	xiàn dài shī
現代音樂	modern music	xiàn dài yīn yuè
現代音樂	modern music	xiàn dài yīn yuè
現代音樂	modern music	xiàn dài yīn yuè
現代音樂	modern music	xiàn dài yīn yuè
現任	current/incumbent	xiàn rèn
現出	show	xiàn chū
現在	current	xiàn zài
現場	scene	xiàn chǎng
現場報道	on-the-spot report	xiàn chǎng bào dào
現場會	on-the-spot meeting	xiàn chǎng huì
現場直播	live broadcast	xiàn chǎng zhí bō
現場直播	live broadcast	xiàn chǎng zhí bō
現存	extant/in stock	xiàn cún
現實	real	xiàn shí
現實主義	realism	xiàn shí zhǔ yì
現實情況	current state	xiàn shí qíng kuàng
現年	current age	xiàn nián
現年	current age	xiàn nián
現成	readily available/ready-made	xiàn chéng
現抓	improvise	xiàn zhuā
現時	current	xiàn shí
現有	currently existing	xiàn yǒu
現款	cash	xiàn kuǎn
現況	current situation	xiàn kuàng
現狀	current situation	xiàn zhuàng
現狀	current situation	xiàn zhuàng
現行	current	xiàn xíng
現行	current	xiàn xíng
現象	appearance/phenomenon	xiàn xiàng
現象學	phenomenology	xiàn xiàng xué
現身	to appear/appear	xiàn shēn
現金	cash	xiàn jīn
現金	cash	xiàn jīn
現金交易	cash transaction	xiàn jīn jiāo yì
現金交易	cash transaction	xiàn 金 jiāo yì
現金交易	cash transaction	xiàn jīn jiāo 易
現金簿	cash book	xiàn jīn bù
現金簿	cash book	xiàn 金 bù
現錢	cash	xiàn qián
現階段	at the present stage	xiàn jiē duàn
球	sphere/globe/ball	qiú
球体	spheroid	qiú tǐ
球形	spherical	qiú xíng
球拍	racket	qiú pāi
球杆	cue (billiards)	qiú gān
球棍	bat	qiú gùn
球棒	baseball bat	qiú bàng
球状	sphere	qiú zhuàng
球状物	globe	qiú zhuàng wù
球狀	sphere	qiú zhuàng
球狀	sphere	qiú zhuàng
球狀物	globe	qiú zhuàng wù
球狀物	globe	qiú zhuàng wù
球磨机	ball mill	qiú mó jī
球磨機	ball mill	qiú mó jī
球童	caddie	qiú tóng
球竿	club (golf)/stick (hockey)	qiú gān
球粒陨石	chondrite	qiú lì yǔn shí
球粒陨石	chondrite	qiú lì yǔn shí
球粒隕石	chondrite	qiú lì yǔn shí
球粒隕石	chondrite	qiú lì yǔn shí
球網	net (for ball games)	qiú wǎng
球网	net (for ball games)	qiú wǎng
球茎	corm	qiú jīng
球莖	corm	qiú jīng
球菌	coccus	qiú jūn
球蛋白	globulin	qiú dàn bái
球赛	(foot)ball match	qiú sài
球迷	fan	qiú mí
球門	goal	qiú mén
球门	goal	qiú mén
球队	sports team (ball games)	qiú duì
球鞋	athletic shoes	qiú xié
球體	spheroid	qiú tǐ
理	tidy up	lǐ
理	tidy up	lǐ
理事会	council	lǐ shì huì
理事会	council	lǐ shì huì
理事國	council member state	lǐ shì guó
理事國	council member state	理 shì guó
理事會	council	lǐ shì huì
理事會	council	lǐ shì huì
理事長	director	lǐ shì zhǎng
理事長	director	lǐ shì zhǎng
理事长	director	lǐ shì zhǎng
理事长	director	lǐ shì zhǎng
理亏	in the wrong	lǐ kuī
理亏	in the wrong	lǐ kuī
理会	take notice of	lǐ huì
理会	take notice of	lǐ huì
理儿	reason	lǐ r
理儿	reason	lǐ r
理兒	reason	lǐ r
理兒	reason	lǐ r
理则	logic	lǐ zé
理则	logic	lǐ zé
理则学	logic	lǐ zé xué
理则学	logic	lǐ zé xué
理則	logic	lǐ zé
理則	logic	lǐ zé
理則學	logic	lǐ zé xué
理則學	logic	lǐ zé xué
理县	Li county	lǐ xiàn
理县	Li county	lǐ xiàn
理发	hairdressing	lǐ fà
理发	hairdressing	lǐ fà
理发员	barber	lǐ fà yuán
理发员	barber	lǐ fà yuán
理发师	barber	lǐ fà shī
理发师	barber	lǐ fà shī
理塘	Litang	lǐ táng
理塘	Litang	lǐ táng
理头	have a haircut	lǐ tóu
理头	have a haircut	lǐ tóu
理工	science and engineering	lǐ gōng
理工	science and engineering	lǐ gōng
理应	ought to/should	lǐ yīng
理应	ought to/should	lǐ yīng
理当	should	lǐ dāng
理当	should	lǐ dāng
理念	concept/idea	lǐ niàn
理念	concept/idea	lǐ niàn
理念	concept/idea	lǐ niàn
理性	rational	lǐ xìng
理性	rational	lǐ xìng
理性認識	rational knowledge	lǐ xìng rèn shi
理性認識	rational knowledge	lǐ xìng rèn shi
理性認識	rational knowledge	lǐ xìng rèn shi
理性认识	rational knowledge	lǐ xìng rèn shi
理性认识	rational knowledge	lǐ xìng rèn shi
理想	ideal	lǐ xiǎng
理想	ideal	lǐ xiǎng
理想主义	idealism	lǐ xiǎng zhǔ yì
理想主义	idealism	lǐ xiǎng zhǔ yì
理想主義	idealism	lǐ xiǎng zhǔ yì
理想主義	idealism	lǐ xiǎng zhǔ yì
理想化	idealize	lǐ xiǎng huà
理想化	idealize	lǐ xiǎng huà
理應	ought to/should	lǐ yīng
理應	ought to/should	lǐ yīng
理所当然	of course/naturally	lǐ suǒ dāng rán
理所当然	of course/naturally	lǐ suǒ dāng rán
理所當然	of course/naturally	lǐ suǒ dāng rán
理所當然	of course/naturally	lǐ suǒ dāng rán
理智	reason/intellect	lǐ zhì
理智	reason/intellect	lǐ zhì
理會	take notice of	lǐ huì
理會	take notice of	lǐ huì
理查	Richard	lǐ chá
理查	Richard	lǐ chá
理查兹	Richards	lǐ chá zī
理查兹	Richards	理 chá zī
理查德	Richard	lǐ chá dé
理查德	Richard	lǐ chá dé
理查森	Richardson	lǐ chá sēn
理查森	Richardson	lǐ chá sēn
理由	reason/grounds	lǐ yóu
理由	reason/grounds	lǐ yóu
理當	should	lǐ dāng
理當	should	lǐ dāng
理疗	physiotherapy	lǐ liáo
理疗	physiotherapy	lǐ liáo
理療	physiotherapy	lǐ liáo
理療	physiotherapy	lǐ liáo
理療	physiotherapy	lǐ liáo
理直气壮	with freeness of speech; with justice on one's side	lǐ zhí qì zhuàng
理直气壮	with freeness of speech; with justice on one's side	lǐ zhí qì zhuàng
理直气壮	with freeness of speech; with justice on one's side	lǐ zhí qì zhuàng
理睬	pay attention to/heed	lǐ cǎi
理睬	pay attention to/heed	lǐ cǎi
理縣	Li county	lǐ xiàn
理縣	Li county	lǐ xiàn
理虧	in the wrong	lǐ kuī
理虧	in the wrong	lǐ kuī
理解	comprehend	lǐ jiě
理解	comprehend	lǐ jiě
理解力	understanding	lǐ jiě lì
理解力	understanding	lǐ jiě lì
理解力	understanding	lǐ jiě lì
理論	theory	lǐ lùn
理論	theory	lǐ lùn
理論	theory	lǐ lùn
理論家	theorist/theoretician	lǐ lùn jiā
理論家	theorist/theoretician	lǐ lùn jiā
理論家	theorist/theoretician	lǐ lùn jiā
理论	theory	lǐ lùn
理论	theory	lǐ lùn
理论家	theorist/theoretician	lǐ lùn jiā
理论家	theorist/theoretician	lǐ lùn jiā
理賠	settle a claim	lǐ péi
理賠	settle a claim	lǐ péi
理赔	settle a claim	lǐ péi
理赔	settle a claim	lǐ péi
理雅各	James Legge (1815-1897)	lǐ yǎ gè
理雅各	James Legge (1815-1897)	lǐ yǎ gè
理頭	have a haircut	lǐ tóu
理頭	have a haircut	lǐ tóu
理髮	hairdressing	lǐ fà
理髮	hairdressing	lǐ fà
理髮員	barber	lǐ fà yuán
理髮員	barber	lǐ fà yuán
理髮師	barber	lǐ fà shī
理髮師	barber	lǐ fà shī
琉	precious stone	liú
琉	precious stone	liú
琉球群岛	Ryukyu Islands	liú qiú qún dǎo
琉球群岛	Ryukyu Islands	liú qiú qún dǎo
琉球群島	Ryukyu Islands	liú qiú qún dǎo
琉球群島	Ryukyu Islands	liú qiú qún dǎo
琉璃苣	borage	liú lí jù
琉璃苣	borage	liú lí jù
琐	fragmentary	suǒ
琐事	trifle	suǒ shì
琐屑	trivial	suǒ xiè
琐碎	trivial	suǒ suì
琐细	trivial	suǒ xì
琐罗亚斯德教	Zoroastrianism	suǒ luó yà sī dé jiào
琚	ornamental gems for belt	jū
琛	precious stone	chēn
琢	to cut	zhuó
琢	to cut	zhuó
琢磨	polish	zhuó mó
琢磨	polish	zhuó mó
琥	amber	hǔ
琥珀	amber	hǔ pò
琪	fine jade	qí
琬	ensign of royalty	wǎn
琮	octagonal jade badge	cóng
琰	gem	yǎn
琳	gem	lín
琳恩	Lynn	lín ēn
